,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
34,0.002536661,0.001380607,0.001958634,0.002276074,0.001380035,0.001828055,0.002343448,0.001555732,0.00194959
264,0.001556151,0.000770866,0.001163508,0.001458903,0.000762348,0.001110625,0.001553804,0.000876258,0.001215031
310,0.001872607,0.000781356,0.001326982,0.001801297,0.00078101,0.001291154,0.00189173,0.000988838,0.001440284
314,0.002115165,0.001065114,0.001590139,0.00202469,0.00107199,0.00154834,0.002103045,0.001343395,0.00172322
29,0.00166519,0.000697532,0.001181361,0.001601713,0.000702092,0.001151903,0.001670613,0.000741183,0.001205898
235,0.00206095,0.001178243,0.001619597,0.001925783,0.001170154,0.001547968,0.002015403,0.001345291,0.001680347
555,0.00249064,0.001374556,0.001932598,0.002273138,0.001349154,0.001811146,0.002340003,0.001623245,0.001981624
562,0.001824712,0.001106346,0.001465529,0.001757826,0.001111866,0.001434846,0.001845701,0.001252479,0.00154909
381,0.002774238,0.002705094,0.002739666,0.002680132,0.002714416,0.002697274,0.002499587,0.002973069,0.002736328
585,0.00406288,0.001066278,0.002564579,0.002219432,0.001070812,0.001645122,0.002221659,0.001284725,0.001753192
461,0.003101509,0.001535954,0.002318731,0.002643715,0.001581175,0.002112445,0.002657434,0.0017377,0.002197567
92,0.001781379,0.001430045,0.001605712,0.001668568,0.001422382,0.001545475,0.001764822,0.001538052,0.001651437
482,0.001659854,0.000701582,0.001180718,0.001599664,0.000704361,0.001152012,0.00167433,0.000762878,0.001218604
386,0.002646186,0.001082156,0.001864171,0.002030854,0.001007634,0.001519244,0.002142674,0.001455539,0.001799107
542,0.002779887,0.001245196,0.002012542,0.002284189,0.001351851,0.00181802,0.0023163,0.001725078,0.002020689
231,0.002000846,0.001749677,0.001875262,0.001807868,0.001766453,0.001787161,0.001879949,0.001929515,0.001904732
57,0.001948423,0.001858062,0.001903242,0.001894163,0.001864238,0.001879201,0.001965566,0.001969772,0.001967669
260,0.002370666,0.001009179,0.001689922,0.002331326,0.001022839,0.001677083,0.002379651,0.001169691,0.001774671
288,0.002121483,0.00136254,0.001742012,0.002055869,0.001374324,0.001715096,0.002114379,0.001513203,0.001813791
259,0.001966693,0.000896204,0.001431448,0.001861988,0.000912854,0.001387421,0.001935011,0.001145925,0.001540468
129,0.001906918,0.001032968,0.001469943,0.001792066,0.001042815,0.00141744,0.001851489,0.001174051,0.00151277
166,0.0018615,0.001227661,0.001544581,0.001613271,0.001255715,0.001434493,0.001698145,0.001510404,0.001604275
328,0.001942017,0.001012559,0.001477288,0.001752608,0.00095665,0.001354629,0.001884538,0.001314621,0.001599579
64,0.002351536,0.001907279,0.002129407,0.0022058,0.001930289,0.002068045,0.002243879,0.002051893,0.002147886
109,0.002291436,0.001652524,0.00197198,0.002118187,0.001648107,0.001883147,0.002182532,0.001790069,0.001986301
17,0.001692586,0.001075803,0.001384194,0.00144768,0.001092539,0.00127011,0.001550504,0.001219818,0.001385161
225,0.001898144,0.001010911,0.001454527,0.001812222,0.00100855,0.001410386,0.001897421,0.001151442,0.001524432
73,0.002877113,0.002179978,0.002528545,0.002606552,0.002174395,0.002390474,0.0025249,0.002413577,0.002469239
391,0.006879592,0.001047408,0.0039635,0.001944214,0.001020998,0.001482606,0.002111422,0.001677465,0.001894444
183,0.002215574,0.002024974,0.002120274,0.002147388,0.002071598,0.002109493,0.001976907,0.002310037,0.002143472
594,0.002200267,0.00106006,0.001630163,0.001921214,0.001064534,0.001492874,0.001987736,0.001184907,0.001586322
