,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
34,0.002297103,0.00136318,0.001830142,0.002275821,0.001378805,0.001827313,0.002344206,0.00155608,0.001950143
264,0.001536892,0.000757083,0.001146988,0.001459163,0.000763463,0.001111313,0.00155434,0.000876235,0.001215288
310,0.00185645,0.000773004,0.001314727,0.001801794,0.000780006,0.0012909,0.001891567,0.000987228,0.001439397
314,0.002056495,0.001051896,0.001554195,0.002026173,0.001071556,0.001548864,0.002103614,0.00134468,0.001724147
29,0.001660214,0.000691684,0.001175949,0.001602147,0.000703372,0.001152759,0.001672524,0.00074227,0.001207397
235,0.001974577,0.001153811,0.001564194,0.001926906,0.001170615,0.00154876,0.002015927,0.001343146,0.001679536
555,0.002270445,0.001339541,0.001804993,0.00227182,0.001347961,0.001809891,0.002340145,0.001626289,0.001983217
562,0.001808262,0.001101738,0.001455,0.001758405,0.001114439,0.001436422,0.00184645,0.001252961,0.001549706
381,0.002488615,0.002693895,0.002591255,0.002687931,0.002720277,0.002704104,0.002491148,0.002972811,0.002731979
585,0.002185309,0.001049646,0.001617478,0.002220434,0.001069144,0.001644789,0.002223011,0.001287072,0.001755042
461,0.002624944,0.001530958,0.002077951,0.002644685,0.00158337,0.002114027,0.002656008,0.001739106,0.002197557
92,0.00172541,0.001421295,0.001573353,0.00166982,0.001424062,0.001546941,0.001765248,0.00154251,0.001653879
482,0.001659215,0.000696024,0.00117762,0.001602161,0.000705867,0.001154014,0.001676477,0.000763203,0.00121984
386,0.002084938,0.001034218,0.001559578,0.002031333,0.00100703,0.001519181,0.00214233,0.001456842,0.001799586
542,0.002242969,0.001299445,0.001771207,0.002284881,0.001352655,0.001818768,0.002320479,0.001723477,0.002021978
231,0.001837283,0.001735458,0.001786371,0.001805332,0.001767729,0.001786531,0.001876979,0.001931835,0.001904407
57,0.001929484,0.001849161,0.001889323,0.001889806,0.001863858,0.001876832,0.001963952,0.001971275,0.001967613
260,0.00236978,0.001000103,0.001684942,0.002332451,0.00102251,0.00167748,0.002378273,0.0011699,0.001774087
86,0.002119497,0.001629062,0.001874279,0.002065624,0.001631812,0.001848718,0.00217322,0.001929688,0.002051454
288,0.002094527,0.001348895,0.001721711,0.002056819,0.001374498,0.001715658,0.002111462,0.001509397,0.001810429
259,0.001900227,0.000892741,0.001396484,0.001860567,0.00091139,0.001385978,0.001931666,0.001143502,0.001537584
129,0.001825188,0.001031295,0.001428242,0.001790431,0.001043623,0.001417027,0.001851524,0.001173194,0.001512359
166,0.001659075,0.001228281,0.001443678,0.001612107,0.001254277,0.001433192,0.001702316,0.001515893,0.001609105
328,0.001825571,0.000981458,0.001403515,0.00175473,0.000956126,0.001355428,0.001884416,0.001313552,0.001598984
64,0.002211748,0.001898909,0.002055328,0.002205205,0.001928621,0.002066913,0.002240172,0.00204835,0.002144261
109,0.002163383,0.001634528,0.001898956,0.002115579,0.001647013,0.001881296,0.002182922,0.001790873,0.001986898
